Period,"February 5, 2021 10:00 AM -> April 22, 2025 11:00 AM"
,
Time,CABR Lot 1 Counter
5/6/2023 0:00,361
5/7/2023 0:00,140
5/8/2023 0:00,250
5/9/2023 0:00,359
5/10/2023 0:00,117
5/11/2023 0:00,199
5/12/2023 0:00,6
5/13/2023 0:00,0
5/14/2023 0:00,0
5/15/2023 0:00,0
5/16/2023 0:00,0
5/17/2023 0:00,0
5/18/2023 0:00,2
5/19/2023 0:00,0
5/20/2023 0:00,2
5/21/2023 0:00,10
5/22/2023 0:00,0
5/23/2023 0:00,0
5/24/2023 0:00,2
5/25/2023 0:00,16
5/26/2023 0:00,284
5/27/2023 0:00,1
5/28/2023 0:00,18
5/29/2023 0:00,0
5/30/2023 0:00,5
5/31/2023 0:00,18
6/1/2023 0:00,1
6/2/2023 0:00,7
6/3/2023 0:00,31
6/4/2023 0:00,41
6/5/2023 0:00,0
6/6/2023 0:00,2
6/7/2023 0:00,12
6/8/2023 0:00,0
6/9/2023 0:00,1
6/10/2023 0:00,0
6/11/2023 0:00,0
6/12/2023 0:00,14
6/13/2023 0:00,0
6/14/2023 0:00,32
6/15/2023 0:00,7
6/16/2023 0:00,6
6/17/2023 0:00,0
6/18/2023 0:00,17
6/19/2023 0:00,159
6/20/2023 0:00,540
6/21/2023 0:00,193
6/22/2023 0:00,16
6/23/2023 0:00,16
6/24/2023 0:00,6
6/25/2023 0:00,37
6/26/2023 0:00,9
6/27/2023 0:00,197
6/28/2023 0:00,3
6/29/2023 0:00,101
6/30/2023 0:00,15
7/1/2023 0:00,0
7/2/2023 0:00,0
7/3/2023 0:00,1
7/4/2023 0:00,2
7/5/2023 0:00,4
7/6/2023 0:00,17
7/7/2023 0:00,65
7/8/2023 0:00,21
7/9/2023 0:00,5
7/10/2023 0:00,0
7/11/2023 0:00,0
7/12/2023 0:00,0
7/13/2023 0:00,2
7/14/2023 0:00,17
7/15/2023 0:00,9
7/16/2023 0:00,118
7/17/2023 0:00,12
7/18/2023 0:00,0
7/19/2023 0:00,0
7/20/2023 0:00,0
7/21/2023 0:00,1
7/22/2023 0:00,14
7/23/2023 0:00,2
7/24/2023 0:00,0
7/25/2023 0:00,79
7/26/2023 0:00,20
7/27/2023 0:00,2
7/28/2023 0:00,92
7/29/2023 0:00,91
7/30/2023 0:00,2
7/31/2023 0:00,1
8/1/2023 0:00,633
8/2/2023 0:00,2
8/3/2023 0:00,524
8/4/2023 0:00,410
8/5/2023 0:00,13
8/6/2023 0:00,46
8/7/2023 0:00,216
8/8/2023 0:00,1696
8/9/2023 0:00,262
8/10/2023 0:00,105
8/11/2023 0:00,0
8/12/2023 0:00,3
8/13/2023 0:00,0
8/14/2023 0:00,0
8/15/2023 0:00,0
8/16/2023 0:00,27
8/17/2023 0:00,0
8/18/2023 0:00,39
8/19/2023 0:00,73
8/20/2023 0:00,0
8/21/2023 0:00,0
8/22/2023 0:00,1
8/23/2023 0:00,25
8/24/2023 0:00,14
8/25/2023 0:00,13
8/26/2023 0:00,0
8/27/2023 0:00,2
8/28/2023 0:00,2
8/29/2023 0:00,26
8/30/2023 0:00,142
8/31/2023 0:00,179
9/1/2023 0:00,672
9/2/2023 0:00,0
9/3/2023 0:00,22
9/4/2023 0:00,1178
9/5/2023 0:00,1292
9/6/2023 0:00,11
9/7/2023 0:00,0
9/8/2023 0:00,0
9/9/2023 0:00,7
9/10/2023 0:00,3
9/11/2023 0:00,0
9/12/2023 0:00,104
9/13/2023 0:00,936
9/14/2023 0:00,318
9/15/2023 0:00,0
9/16/2023 0:00,0
9/17/2023 0:00,0
9/18/2023 0:00,1
9/19/2023 0:00,41
9/20/2023 0:00,48
9/21/2023 0:00,1
9/22/2023 0:00,0
9/23/2023 0:00,14
9/24/2023 0:00,2
9/25/2023 0:00,4
9/26/2023 0:00,19
9/27/2023 0:00,500
9/28/2023 0:00,605
9/29/2023 0:00,23
9/30/2023 0:00,12
10/1/2023 0:00,105
10/2/2023 0:00,282
10/3/2023 0:00,10
10/4/2023 0:00,4
10/5/2023 0:00,3
10/6/2023 0:00,0
10/7/2023 0:00,15
10/8/2023 0:00,0
10/9/2023 0:00,1
10/10/2023 0:00,474
10/11/2023 0:00,70
10/12/2023 0:00,242
10/13/2023 0:00,75
10/14/2023 0:00,24
10/15/2023 0:00,46
10/16/2023 0:00,6
10/17/2023 0:00,191
10/18/2023 0:00,13
10/19/2023 0:00,9
10/20/2023 0:00,23
10/21/2023 0:00,48
10/22/2023 0:00,723
10/23/2023 0:00,29
10/24/2023 0:00,137
10/25/2023 0:00,7
10/26/2023 0:00,355
10/27/2023 0:00,158
10/28/2023 0:00,182
10/29/2023 0:00,52
10/30/2023 0:00,25
10/31/2023 0:00,10
11/1/2023 0:00,11
11/2/2023 0:00,26
11/3/2023 0:00,31
11/4/2023 0:00,85
11/5/2023 0:00,61
11/6/2023 0:00,30
11/7/2023 0:00,193
11/8/2023 0:00,21
11/9/2023 0:00,49
11/10/2023 0:00,62
11/11/2023 0:00,114
11/12/2023 0:00,71
11/13/2023 0:00,19
11/14/2023 0:00,16
11/15/2023 0:00,1
11/16/2023 0:00,30
11/17/2023 0:00,46
11/18/2023 0:00,234
11/19/2023 0:00,62
11/20/2023 0:00,88
11/21/2023 0:00,64
11/22/2023 0:00,64
11/23/2023 0:00,61
11/24/2023 0:00,20
11/25/2023 0:00,125
11/26/2023 0:00,58
11/27/2023 0:00,33
11/28/2023 0:00,18
11/29/2023 0:00,21
11/30/2023 0:00,20
12/1/2023 0:00,33
12/2/2023 0:00,190
12/3/2023 0:00,57
12/4/2023 0:00,8
12/5/2023 0:00,14
12/6/2023 0:00,7
12/7/2023 0:00,39
12/8/2023 0:00,94
12/9/2023 0:00,69
12/10/2023 0:00,70
12/11/2023 0:00,60
12/12/2023 0:00,49
12/13/2023 0:00,43
12/14/2023 0:00,26
12/15/2023 0:00,43
12/16/2023 0:00,72
12/17/2023 0:00,40
12/18/2023 0:00,34
